Case Type Group,Case Type Subgroup,BLM Product,BLM Product Code
Land Use Authorizations,Rights of Way,FOREST SERVICE CONSTRUCTION ROADS AND TRAILS,289102
Land Use Authorizations,Rights of Way,"FOREST SERVICE 16USC5571C,580D",289103
Land Use Authorizations,Rights of Way,FOREST SERVICE 16 USC 528-531,289104
Land Use Authorizations,Rights of Way,FOREST SERVICE SPECIAL USE PERMITS,289105
Land Use Authorizations,Rights of Way,FOREST SERVICE EASEMENT FEDERAL LAND POLICY AND MANAGEMENT ACT,289106
Land Use Authorizations,Rights of Way,FOREST SERVICE OTHER FEDERAL AGENCY,289107
Land Use Authorizations,Rights of Way,FOREST SERVICE RECONVEYED,289111
Land Use Authorizations,Rights of Way,ISSUED BY MILITARY DEPARTMENT,289150
Land Use Authorizations,Rights of Way,ISSUED BY ATOMIC ENERGY COMMISSION,289160
Land Use Authorizations,Rights of Way,ACQUIRED LAND REAL PROPERTY,289200
Land Use Authorizations,Rights of Way,TRANS ALASKA PIPELINE (TAPS),289600
Land Use Authorizations,Rights of Way,ACCESS ROAD ALASKA,289601
Land Use Authorizations,Rights of Way,PUMP STATION PERMANENT ALASKA,289608
Land Use Authorizations,Rights of Way,MECHANICAL REFRIGERATION PERMANENT ALASKA,289610
Land Use Authorizations,Rights of Way,PUMP STATION COMMUNICATION SITE PERMANENT ALASKA,289612
Land Use Authorizations,Rights of Way,BASIC COMMUNICATIONS PERMANENT OR PERMISSION ALASKA,289614
Land Use Authorizations,Rights of Way,BASIC COMMUNICATIONS TEMPORARY ALASKA,289615
Land Use Authorizations,Rights of Way,REMOTE CON BL V COM S T,289617
Land Use Authorizations,Rights of Way,ERSN CONSTRUCTION PERMANENT ALASKA,289618
Land Use Authorizations,Rights of Way,CAMP/COMMS PERMANENT ALASKA,289620
Land Use Authorizations,Rights of Way,CAMP/COMMS TEMPORARY ALASKA,289621
Land Use Authorizations,Rights of Way,REMOTE CON BL V EQUIPMENT ALASKA,289622
Land Use Authorizations,Rights of Way,TRANS ALASKA PIPELINE TEMPORARY USE PERMIT (TAPS),289624
Land Use Authorizations,Rights of Way,NATURAL GAS PIPELINE ALASKA,289701
Land Use Authorizations,Rights of Way,NATURAL GAS PIPELINE ALASKA TEMPORARY USE PERMIT,289702
Land Use Authorizations,Rights of Way,TRANS ALASKA GAS SYSTEM (TAGS),289800
Land Use Authorizations,Rights of Way,TRANS ALASKA GAS SYSTEM TEMPORARY USE PERMIT (TAGS),289801
Land Use Authorizations,Rights of Way,ALASKA DENALI PIPELINE TEMPORARY USE PERMIT,289902
Land Use Authorizations,Leases Permits Easements,OCCUPANCY PERMIT SPECIAL,290011
Land Use Authorizations,Leases Permits Easements,TO BE DEFINED,290099
Land Use Authorizations,Leases Permits Easements,AIRPORT LEASES,291100
Land Use Authorizations,Leases Permits Easements,RECREATION AND PUBLIC PURPOSES LEASE,291200
Land Use Authorizations,Leases Permits Easements,SMALL TRACT LEASES,291300
Land Use Authorizations,Leases Permits Easements,MINING CLAIM OCCUPANCY ACT LEASE,291400
Land Use Authorizations,Leases Permits Easements,FUR FARM LEASE ALASKA,291600
Land Use Authorizations,Leases Permits Easements,SPECIAL LAND USE PERMIT PIPELINE ALASKA,292001
Land Use Authorizations,Leases Permits Easements,HELICOPTER SITE ALASKA,292003
Land Use Authorizations,Leases Permits Easements,PIPE STORAGE TEMPORARY ALASKA,292004
Land Use Authorizations,Leases Permits Easements,MATERIAL STORAGE TEMPORARY ALASKA,292005
Land Use Authorizations,Leases Permits Easements,PERMITS SEC 302 FEDERAL LAND POLICY AND MANAGEMENT ACT,292006
Land Use Authorizations,Leases Permits Easements,BUREAU OF INDIAN AFFAIRS SCHOOL LEASES ALASKA,292007
Land Use Authorizations,Leases Permits Easements,PERMITS SEC 1303 ALASKA NATIONAL INTEREST LANDS CONSERVATION ACT (ANILCA),292008
Land Use Authorizations,Leases Permits Easements,PERMIT SEC 302 FEDERAL LAND POLICY AND MANAGEMENT ACT - FILM,292009
Land Use Authorizations,Leases Permits Easements,PERMIT CARBON DIOXIDE SEQUESTRATION PROJECT TEST,292011
Land Use Authorizations,Leases Permits Easements,LEASES SEC 302 FEDERAL LAND POLICY AND MANAGEMENT ACT,292020
Land Use Authorizations,Leases Permits Easements,EASEMENT SEC 302 FEDERAL LAND POLICY AND MANAGEMENT ACT,292030
Land Use Authorizations,Leases Permits Easements,PUBLIC WORKS,292040
Land Use Authorizations,Leases Permits Easements,ADVERTISING PERMIT PRE-FEDERAL LAND POLICY AND MANAGEMENT ACT,292100
Land Use Authorizations,Leases Permits Easements,WATER WELLS PRE-FEDERAL LAND POLICY AND MANAGEMENT ACT,292200
Land Use Authorizations,Leases Permits Easements,COMMUNICATION FACILITY PRE-FEDERAL LAND POLICY AND MANAGEMENT ACT,292300
Land Use Authorizations,Leases Permits Easements,SPORTS EVENT PRE-FEDERAL LAND POLICY AND MANAGEMENT ACT,292400
Land Use Authorizations,Leases Permits Easements,EASEMENT DEPARTMENT OF INTERIOR TO FEDERAL AGENCY,292500
Land Use Authorizations,Leases Permits Easements,"RECLAMATION LEASE, LICENSE, AND DEDICATION",292601
Land Use Authorizations,Leases Permits Easements,RECONVEYED PERMIT/LEASE,292602
Land Use Authorizations,Leases Permits Easements,LEASE HOT SPRINGS,292901
Land Use Authorizations,Leases Permits Easements,PERMITS RECREATION USE,293000
Land Use Authorizations,Leases Permits Easements,LEASE HOT SPRINGS,293001
Land Use Authorizations,Leases Permits Easements,SPECIAL RECREATION USE PERMIT,293200
Land Use Authorizations,Leases Permits Easements,PERMIT NAVAL PETROLEUM RESERVES ACT,298401
Land Use Authorizations,Leases Permits Easements,LEASE NAVAL PETROLEUM RESERVES ACT,298402
Land Use Authorizations,Leases Permits Easements,TO BE DEFINED,400099
Mining Claims,Lode Claim,LODE CLAIM,384101
Mining Claims,Lode Claim,LODE CLAIM - NATIONAL PARK,384103
Mining Claims,Placer Claim,PLACER CLAIM,384201
Mining Claims,Placer Claim,PLACER CLAIM - NATIONAL PARK,384203
Mining Claims,Tunnel Site,TUNNEL SITE,384301
Mining Claims,Tunnel Site,TUNNEL SITE - NATIONAL PARK,384303
Mining Claims,Mill Site,MILL SITE,384401
Mining Claims,Mill Site,MILL SITE - NATIONAL PARK,384403
Solid Minerals,Coal,COAL LEASE,340001
Solid Minerals,Coal,EXPLORATION LICENSE,341001
Solid Minerals,Coal,PROSPECTING PERMIT,341002
Solid Minerals,Coal,REGIONAL COAL LEASE COMP,342001
Solid Minerals,Coal,REGIONAL COMPETITIVE EMERGENCY/BYPASS,342504
Solid Minerals,Coal,NON-REG COMP COAL LEASE-LBA,342505
Solid Minerals,Coal,COAL LEASE HARDSHIP,342506
Solid Minerals,Coal,COAL - SPLIT ESTATE SURFACE OWNER QUALIFIED,342701
Solid Minerals,Coal,COAL LEASE PREFERENCE RIGHT,343001
Solid Minerals,Coal,COAL LEASE EXCHANGE,343500
Solid Minerals,Coal,COAL LEASE/LAND EXCHANGE-AL VLY F,343600
Solid Minerals,Coal,COAL LICENSE TO MINE,344001
Solid Minerals,Coal,CATEGORY 5 PETITIONS,347201
Solid Minerals,Coal,LOGICAL MINING UNIT,348001
Solid Minerals,Non-Energy Leaseables,KNOWN LEASING AREA,350006
Solid Minerals,Non-Energy Leaseables,TO BE DEFINED,350099
Solid Minerals,Non-Energy Leaseables,PROSPECT PERMIT FRAC/FUT INT,350701
Solid Minerals,Non-Energy Leaseables,LEASE FRAC/FUTURE INTEREST,350702
Solid Minerals,Non-Energy Leaseables,MINERAL LEASE EXCHANGE,350801
Solid Minerals,Non-Energy Leaseables,PHOSPHATE PROSPECT PERMIT,351201
Solid Minerals,Non-Energy Leaseables,PHOSPHATE PREF RGT LSE,351301
Solid Minerals,Non-Energy Leaseables,PHOSPHATE EXPLORATORY LICENSE,351401
Solid Minerals,Non-Energy Leaseables,PHOSPHATE COMPETITIVE LEASE,351501
Solid Minerals,Non-Energy Leaseables,PHOSPHATE FRINGE ACRE NC LSE,351601
Solid Minerals,Non-Energy Leaseables,PHOSPHATE USE PERMIT,351701
Solid Minerals,Non-Energy Leaseables,SODIUM PROSPECT PERMIT,352201
Solid Minerals,Non-Energy Leaseables,SODIUM PREF RGT LSE,352301
Solid Minerals,Non-Energy Leaseables,SODIUM EXPL LICENSE,352401
Solid Minerals,Non-Energy Leaseables,SODIUM COMPETITIVE LEASE,352501
Solid Minerals,Non-Energy Leaseables,SODIUM FRINGE AC NC LEASE,352601
Solid Minerals,Non-Energy Leaseables,SODIUM USE PERMIT,352701
Solid Minerals,Non-Energy Leaseables,POTASSIUM PROSPECT PERMIT,353201
Solid Minerals,Non-Energy Leaseables,POTASSIUM PREF RGT LSE,353301
Solid Minerals,Non-Energy Leaseables,POTASSIUM EXPLORATORY LICENSE,353401
Solid Minerals,Non-Energy Leaseables,POTASSIUM COMP LEASE,353501
Solid Minerals,Non-Energy Leaseables,POTASSIUM FRINGE ACRE NC LSE,353601
Solid Minerals,Non-Energy Leaseables,SULPHUR PROSP PERMIT,354201
Solid Minerals,Non-Energy Leaseables,GILSONITE PROSPECT PERMIT,355201
Solid Minerals,Non-Energy Leaseables,GILSONITE PREF RGT LEASE,355301
Solid Minerals,Non-Energy Leaseables,GILSONITE EXPLORATION LICENSE,355401
Solid Minerals,Non-Energy Leaseables,GILSONITE COMPETITIVE LEASE,355501
Solid Minerals,Non-Energy Leaseables,GILSONITE FRINGE NC LSE,355601
Solid Minerals,Oil/Shale,"OIL SHALE R,D/D LEASE",355701
Solid Minerals,Oil/Shale,OIL SHALE PREF RGT LSE,355702
Solid Minerals,Oil/Shale,OIL SHALE EXPLORATION LICENSE,355703
Solid Minerals,Non-Energy Leaseables,PD-NF MINNESOTA,356003
Solid Minerals,Non-Energy Leaseables,HARDROCK PROSPECT PERMIT-ACQUIRED,356201
Solid Minerals,Non-Energy Leaseables,HDR PREF RGT LEASE-ACQ,356301
Solid Minerals,Non-Energy Leaseables,HDR COMP LEASE ACQUIRED,356401
Solid Minerals,Non-Energy Leaseables,HDR NC LEASE ACQUIRED,356501
Solid Minerals,Non-Energy Leaseables,HDR DEVELOPEMENT CONTRACT,356701
Solid Minerals,Non-Energy Leaseables,ASPHALT-OKLAHOMA COMP,357401
Solid Minerals,Non-Energy Leaseables,NATIONAL PARK SERVICE AREAS,358201
Solid Minerals,Non-Energy Leaseables,SAND AND GRAVEL-NEVADA,358601
Solid Minerals,Saleables,MINERAL MATERIAL EXPLORATION PERMIT - SURFACE,360211
Solid Minerals,Saleables,MINERAL MATERIAL EXPLORATION PERMIT - MINERAL,360212
Solid Minerals,Saleables,MINERAL MATERIAL EXPLORATION PERMIT - ALL,360213
Solid Minerals,Saleables,COMMUNITY PIT-SURFACE,360411
Solid Minerals,Saleables,COMMUNITY PIT-MINERALS,360412
Solid Minerals,Saleables,COMMUNITY PIT -ALL,360413
Solid Minerals,Saleables,COMMON USE AREA -SURFACE,360511
Solid Minerals,Saleables,COMMON USE AREA -MINERAL,360512
Solid Minerals,Saleables,COMMON USE AREA -ALL,360513
Solid Minerals,Saleables,MINERAL MATERIAL SALES,361000
Solid Minerals,Saleables,MINERAL MATERIALS NEGOTIATED-SURFACE,361111
Solid Minerals,Saleables,MINERAL MATERIALS NEGOTIATED-MINERALS,361112
Solid Minerals,Saleables,MINERAL MATERIALS NEGOTIATED-ALL,361113
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, NON-RENEWABLE - SURFACE",361311
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, NON-RENEWABLE - MINERALS",361312
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, NON-RENEWABLE - ALL",361313
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, RENEWABLE - SURFACE",361321
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, RENEWABLE - MINERALS",361322
Solid Minerals,Saleables,"MINERAL MATERIALS SALE - COMPETITIVE, RENEWABLE - ALL",361323
Solid Minerals,Saleables,FREE USE MINERAL MATERIAL,362000
Solid Minerals,Saleables,FREE USE PERMIT - GOVERNMENT SUBDIVISION -SURFACE,362111
Solid Minerals,Saleables,FREE USE PERMIT - GOVERNMENT SUBDIVISION -MINERALS,362112
Solid Minerals,Saleables,FREE USE PERMIT - GOVERNMENT SUBDIVISION -ALL,362113
Solid Minerals,Saleables,FREE USE PERMIT - NON-PROFIT ORGANIZATION,362200
Solid Minerals,Saleables,FREE USE PERMIT -NON-PROFIT ORGANIZATION-SURFACE,362211
Solid Minerals,Saleables,FREE USE PERMIT -NON-PROFIT ORGANIZATION-MINERALS,362212
Solid Minerals,Saleables,FREE USE PERMIT -NON-PROFIT ORGANIZATION-ALL,362213
Solid Minerals,Saleables,MINERAL MATERIALS BLM QUARRY,362913
Solid Minerals,Locatables,TO BE DEFINED,370099
Solid Minerals,Locatables,MULTIPLE USE-SURFACE PL-167,371000
Solid Minerals,Locatables,MINING CLAIM RESTRICTION,371200
Solid Minerals,Locatables,USE & OCCUPANCY-MINING,371500
Solid Minerals,Locatables,USE AND OCCUPANCY,371511
Solid Minerals,Locatables,MINING IN POWERSITE PL-359,373000
Solid Minerals,Locatables,MULTIPLE MINERAL DEVELOPMENT PL-585,374000
Solid Minerals,Locatables,TO BE DEFINED,380099
Solid Minerals,Locatables,SURFACE MANAGEMENT PLAN WILDERNESS REVIEW,380210
Solid Minerals,Locatables,SURFACE MANAGEMENT-MINING ALASKA,380901
Solid Minerals,Locatables,SURFACE MANAGEMENT PLAN - MINING,380910
Solid Minerals,Locatables,SURFACE MANAGEMENT PLAN - EXPLORATION,380911
Solid Minerals,Locatables,SURFACE MANAGEMENT PLAN - ANCILLARY,380912
Solid Minerals,Locatables,SURFACE MANAGEMENT-NOTICE,380913
Solid Minerals,Locatables,SURFACE MANAGEMENT-PLAN/NOTICE,380920
Solid Minerals,Locatables,MINERAL DISPOSAL-SRHA-NOTICE OF INTENT,381401
Solid Minerals,Locatables,MINERAL DISPOSAL-SRHA-PLAN,381402
Solid Minerals,Locatables,MINERAL DISPOSAL-SRHE CLAIMANT BOND,381410
Solid Minerals,Locatables,MINERAL LOCATION IN RECLAMATION WITHDRAWALS,381600
Solid Minerals,Locatables,SPECIAL MINING LAW AREAS,382000
Solid Minerals,Locatables,DEFERMENT OF ASSESSMENT WORK,385220
Solid Minerals,Locatables,MINERAL SURVEY APPLICATION,386100
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-LODE BLM,386201
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-LODE FS,386202
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-PLACER BLM,386301
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-PLACER FS,386302
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-MILL SITE BLM,386401
Solid Minerals,Locatables,MINERAL PATENT APPLICATION-MILL SITE FS,386402
Solid Minerals,Locatables,ADVERSE CLAIMS,387100
Solid Minerals,Locatables,PROTESTS & CONTESTS,387200
Solid Minerals,Solid Minerals,MINERAL CLASSIFICATION,360050
Solid Minerals,Solid Minerals,TO BE DEFINED,360099
Solid Minerals,Free Use Permit,FREE USE PERMIT -PETRIFIED WOOD-ALL,362313
Solid Minerals,AML,AML PHYSICAL SAFETY RECLAMATION / REMEDIATION PROJECT,372000
Solid Minerals,AML,AML WATER QUALITY RECLAMATION / REMEDIATION PROJECT,372001
Solid Minerals,AML,AML REPOSITORY,372002
Solid Minerals,Solid Minerals,MINERAL CLASSIFICATION,391000
Solid Minerals,Oil/Shale,CONTEST-MULTIPLE USE CON-BLM,392001
Solid Minerals,Oil/Shale,CONTEST-MULTIPLE USE CON-FS,392002
Solid Minerals,Oil/Shale,CONTEST - REIMBURSABLE,392003
Solid Minerals,Oil/Shale,CONTEST-PRIVATE,393001
Solid Minerals,General Mining Laws,ABANDONED MINE LAND INV,380800
Land Transfer,Land Transfer,ALASKA NATIVE ALLOTMENT,256100
Land Transfer,Land Transfer,ALASKA MENTAL HEALTH,262710
Land Transfer,Land Transfer,COMMUNITY GRANTS,262711
Land Transfer,Land Transfer,COMMUNITY GRANT FOREST,262712
Land Transfer,Land Transfer,ALASKA-TERMS & CONDITIONS,262713
Land Transfer,Land Transfer,ALASKA-SCHOOL LANDS SETTLEMENT,262714
Land Transfer,Land Transfer,ALASKA UNIVERSITY GRANT,262720
Land Transfer,Land Transfer,CLEAR LIST UNIVERSITY,262722
Land Transfer,Land Transfer,GENERAL GRANT,262730
Land Transfer,Land Transfer,MINERAL ESTATE,262740
Land Transfer,Land Transfer,REALLOCATED SELECTION - ALASKA,265102
Land Transfer,Land Transfer,REGIONAL SELECTIONS - ALASKA,265200
Land Transfer,Land Transfer,AUTOMATIC SUBSURFACE CONVEYANCE ALASKA,265201
Land Transfer,Land Transfer,LIEU SELECTION SUBSURFACE ESTATE ALASKA,265202
Land Transfer,Land Transfer,CIRI-NOM OUTSDE REG POOL,265203
Land Transfer,Land Transfer,CIRI-GENERAL SERVICES ADMINISTRATION POOL,265204
Land Transfer,Land Transfer,CIRI-FROM STATE THRU UNITED STATES,265206
Land Transfer,Land Transfer,CNI-12C/14H8 ALASKA NATIONAL INTEREST ANDS CONSERVATION ACT EXCHANGE,265208
Land Transfer,Land Transfer,CIRI-DFNCY RECON VLG,265209
Land Transfer,Land Transfer,CIRI-MISC & COAL/OIL AND GAS,265210
Land Transfer,Land Transfer,CEMETERY-HISTORY SITE ALASKA,265301
Land Transfer,Land Transfer,NATIVE GROUP SELECTION ALASKA,265302
Land Transfer,Land Transfer,FOUR CITIES SECTION-ALASKA,265303
Land Transfer,Land Transfer,FOUR CITIES NON -ALASKA,265304
Land Transfer,Land Transfer,NATIVE PLANT PRESERVATION PLAN -ALASKA,265306
Land Transfer,Land Transfer,ALASKA NATIVE CLAIMS SETTLEMENT ACT 14(H)(8) SELECTION -ALASKA,265308
Land Transfer,Land Transfer,NATIVE RESERVE-ALASKA; ALASKA NATIVE CLAIMS SETTLEMENT ACT 19B & C,265400
Land Transfer,Land Transfer,CIRI 3(E) /ARTA-ALASKA,265502
Land Transfer,Land Transfer,BARROW GFTA,265600
Land Transfer,Land Transfer,ALASKA RAILROAD TRANSFER,265800
Land Transfer,Land Transfer,SCHOOL SELECT PATENTS,262400
Fluid Minerals,Fluid Minerals,O&G KNOWN GEOLOGIC STRUCTURE - FAVORABLE PETROLEUM GEOLOGICAL PROVINCE,310070
Fluid Minerals,Fluid Minerals,GEOTHERMAL KNOWN  RESOURCE AREA,320070
Survey,Survey,CADASTRAL SURVEY,918000
Survey,Survey,SPECIAL SURVEYS,918300
